a blacksmith shop	ᎦᏅᏆᎶᏍᎩᎢ	[ganv:gwa:lò:sgi̋:ʔi]  (single noun) /ced/
aching	ᏤᎯᏍᏓᏏ	[je:hisdà:si]  (he is) (2nd/immediate) /ced/
aching	ᎤᏪᎯᏍᏓᏁᏗ	[uwe:hisdà:néhdi]  (he is) (3rd/deverbal) /ced/
acorn	ᎫᎴ	[gu:le]  (single noun) /ced/
acqaintance	ᎪᎵᎩ	[gőhlgi]  (his) (single noun) /ced/
acqaintance	ᏗᎪᎵᎩ	[digőhlgi]  (his) (plural noun) /ced/
acting like him	ᎠᏤᎸᏍᎦ	[à:je:lv:sga]  (he is) (3rd/present continuous) /ced/
acting like him	ᎦᏤᎸᏍᎦ	[gaje:lv̀:sga]  (he is) (1st/present continuous) /ced/
acting like him	ᎤᏤᎸᏅᎢ	[ù:je:lv:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
acting like him	ᎠᏤᎸᏍᎪᎢ	[à:je:lv:sgó:ʔi]  (he is) (3rd/habitual) /ced/
acting like him	ᎭᏤᎸᎾ	[haje:lv̌:na]  (he is) (2nd/immediate) /ced/
acting like him	ᎤᏤᎸᏗ	[u:jehldi]  (he is) (3rd/deverbal) /ced/
acting silly	ᎠᏛᏁᎵᎭ	[à:dv́:ne:líha]  (he is) (3rd/present continuous) /ced/
acting silly	ᎦᏛᏁᎵᎭ	[gadv́:ne:líha]  (he is) (1st/present continuous) /ced/
acting silly	ᎤᏛᏁᎸᏅᎢ	[ù:dv́:ne:lv:hnv̌:ʔi]  (he is) (3rd/remote past) /ced/
acting silly	ᎠᏛᏁᎵᏍᎪᎢ	[à:dv́:ne:lǐ:sgóʔi]  (he is) (3rd/habitual) /ced/
acting silly	ᎭᏛᏁᎳ	[hadv̀:ně:la]  (he is) (2nd/immediate) /ced/
acting silly	ᎤᏛᏁᏟᏗ	[u:dv̀:něhldi]  (he is) (3rd/deverbal) /ced/
active	ᎬᎿᎦᎵᏍᏗ	[gv́hnagalsdi] (adj/adv) /ced/
actor	ᎠᏛᏁᎵᏍᎩ	[adv̀:ně:li̋:sgi]  (single noun) /ced/
actor	ᎠᎾᏛᏁᎵᏍᎩ	[anadv̀:ně:li̋:sgi]  (plural noun) /ced/
Adam	ᎠᏓᏫ	[Ǎ:dáwi]  (single noun) /ced/
adjourning	ᏓᏂᏰᎵᏍᎦ	[dà:ni:ye:li:sga]  (they are) (3rd/present continuous) /ced/
adjourning	ᏙᏥᏰᎵᏍᎦ	[dò:ji:ye:li:sga]  (they are) (1st/present continuous) /ced/
adjourning	ᏚᏂᏰᎵᏒᎢ	[dù:ni:ye:li:sv̌:ʔi]  (they are) (3rd/remote past) /ced/
adjourning	ᏓᏂᏰᎵᏍᎪᎢ	[dà:ni:ye:li:sgó:ʔi]  (they are) (3rd/habitual) /ced/
adjourning	ᏗᏥᏰᎵᎯ	[dì:jǐ:yé:li:hi]  (they are) (2nd/immediate) /ced/
adjourning	ᏧᏂᏰᎵᎯᏍᏗ	[ju:ni:ye:li:hisdi]  (they are) (3rd/deverbal) /ced/
adolescent boy	ᎠᏫᏄᏣ	[awi:nű:ja]  (single noun) /ced/
adolescent boy	ᎠᏂᏫᏄᏣ	[ani:wi:nű:ja]  (plural noun) /ced/
adolescent girl	ᎠᏔᏄᏣ	[a:tanű:ja]  (single noun) /ced/
adolescent girl	ᎠᎾᏔᏄᏣ	[ana:tanű:ja]  (plural noun) /ced/
adulterer	ᎠᏓᏲᏁᎯ	[ada:hyo:ne̋:hi]  (single noun) /ced/
adulterer	ᏗᎾᏓᏲᏁᎯ	[di:nada:hyo:ne̋:hi]  (plural noun) /ced/
adultery	ᎠᏓᏲᏁᏗ	[ada:hyo:néhdi]  (single noun) /ced/
advertising it	ᏕᎦᏃᏣᏢᏍᎦ	[de:gáno:jahlv́sga]  (he is) (3rd/present continuous) /ced/
advertising it	ᏕᏥᏃᏣᎸᏍᎦ	[de:jíno:jaʔlv́sga]  (he is) (1st/present continuous) /ced/
advertising it	ᏚᏃᏣᏝᏅᎢ	[dù:no:jahlánv́:ʔi]  (he is) (3rd/remote past) /ced/
advertising it	ᏕᎦᏃᏣᏢᏍᎪᎢ	[de:gáno:jahlv́sgóʔi]  (he is) (3rd/habitual) /ced/
advertising it	ᏘᏃᏣᏢᎦ	[tinó:jahlv̀:ga]  (he is) (2nd/immediate) /ced/
advertising it	ᏧᏃᏣᎸᏗ	[ju:no:jahldi]  (he is) (3rd/deverbal) /ced/
afloat	ᎤᏲᎷᎭ	[ù:hyo:lúha]  (he or it is) (3rd/present continuous) /ced/
afloat	ᎠᎩᏲᎷᎭ	[à:kiyo:lúha]  (he or it is) (1st/present continuous) /ced/
afloat	ᎤᏲᎷᏒᎢ	[ù:hyo:lú:sv̌:ʔi]  (he or it is) (3rd/remote past) /ced/
afloat	ᎤᏲᎷᏐᎢ	[ù:hyo:lú:só:ʔi]  (he or it is) (3rd/habitual) /ced/
afloat	ᎯᏲᎷᎲᎦ	[hihyo:lu:hv̀:ga]  (he or it is) (2nd/immediate) /ced/
afloat	ᎤᏲᎷᏗ	[u:hyo:lúhdi]  (he or it is) (3rd/deverbal) /ced/
afraid	ᎠᏍᎦᎭ	[à:sgâ:ha]  (he is) (3rd/present continuous) /ced/
afraid	ᏥᏍᎦᎭ	[jì:sgâ:ha]  (he is) (1st/present continuous) /ced/
afraid	ᎤᏍᎦᎸᎢ	[ù:sgá:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
afraid	ᎠᏍᎦᎰᎢ	[à:sgá:hó:ʔi]  (he is) (3rd/habitual) /ced/
afraid	ᎯᏍᎦᏯ	[hisgǎ:ya]  (he is) (2nd/immediate) /ced/
afraid	ᎤᏍᎦᏍᏗ	[u:sgà:sdi]  (he is) (3rd/deverbal) /ced/
after	ᎣᏂ	[o:hni] (adj/adv) /ced/
after a while	ᎪᎯᏴᎢ	[kò:hî:yv̋:ʔi] (adj/adv) /ced/
again	ᏏᏊ	[sǐ:gwu] (adj/adv) /ced/
agitating liquid	ᎦᏅᏆᎡᎭ	[ganhgwáʔe:ha]  (he is) (3rd/present continuous) /ced/
agitating liquid	ᏥᏅᏆᎡᎭ	[jìnhgwáʔe:ha]  (he is) (1st/present continuous) /ced/
agitating liquid	ᎤᏅᏆᎡᎲᎢ	[ùnhgwáʔe:hv̌:ʔi]  (he is) (3rd/remote past) /ced/
agitating liquid	ᎦᏅᏆᎡᏍᎪᎢ	[ganhgwáʔe:sgó:ʔi]  (he is) (3rd/habitual) /ced/
agitating liquid	ᎯᏅᏆᎥᎳ	[hinhgwaʔv̌:la]  (he is) (2nd/immediate) /ced/
agitating liquid	ᎤᏅᏆᎡᏗ	[unhgwaʔéhdi]  (he is) (3rd/deverbal) /ced/
agony	ᎠᎩᏟᏱ	[agi:hli̋:yi]  (single noun) /ced/
agreeing with him	ᎪᎯᏳᏓᏁᎭ	[go:hiyhdâ:neha]  (he is) (3rd/present continuous) /ced/
agreeing with him	ᏥᏲᎢᏴᏓᏁᎭ	[ji:yoʔiyhdâ:neha]  (he is) (1st/present continuous) /ced/
agreeing with him	ᎤᏬᎯᏴᏓᏁᎸᎢ	[ù:wo:hiyhdâ:ne:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
agreeing with him	ᎪᎯᏴᏓᏁᎰᎢ	[go:hiyhdâ:ne:hó:ʔi]  (he is) (3rd/habitual) /ced/
agreeing with him	ᎯᏲᎢᏴᏓᏏ	[hi:yoʔiyhdà:si]  (he is) (2nd/immediate) /ced/
agreeing with him	ᎤᏬᎯᏴᏓᏁᏗ	[uwo:hiyhdà:néhdi]  (he is) (3rd/deverbal) /ced/
aid	ᎠᎵᏍᏕᎸᏙᏗ	[alsděhldohdi]  (financial) (single noun) /ced/
aiming	ᎠᎵᏐᏍᏗᎭ	[àlsǒ:sdíha]  (he is) (3rd/present continuous) /ced/
aiming	ᎦᎵᏐᏍᏗᎭ	[galì:sǒ:sdíha]  (he is) (1st/present continuous) /ced/
aiming	ᎤᎵᏐᏍᏔᏅᎢ	[ùlsǒ:stánv̌:ʔi]  (he is) (3rd/remote past) /ced/
aiming	ᎠᎵᏐᏍᏗᏍᎪᎢ	[àlsǒ:sdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
aiming	ᎭᎵᏐᏍᏓ	[halsǒ:sda]  (he is) (2nd/immediate) /ced/
aiming	ᎤᎵᏐᏍᏙᏗ	[ulsǒ:sdóhdi]  (he is) (3rd/deverbal) /ced/
aiming at him or it	ᏕᏥᏯᎵᏐᏍᏗᎭ	[de:jí:yalì:sǒ:sdíha] (an.)  (he is) (1st/present continuous) /ced/
aiming at him or it	ᏕᎦᎵᏐᏍᏗᎭ	[de:gálì:sǒ:sdíha] (in.)  (he is) (1st/present continuous) /ced/
aiming at him or it	ᏘᏯᎵᏐᏍᏓ	[ti:yálì:sǒ:sda] (in.)  (he is) (2nd/immediate) /ced/
aiming at him or it	ᏔᎵᏐᏍᏓ	[tálso:sda] (an.)  (he is) (2nd/immediate) /ced/
aiming at him or it	ᏓᎵᏐᏍᏗᎭ	[dàlso:sdíha]  (he is) (3rd/present continuous) /ced/
aiming at him or it	ᏚᎵᏐᏍᏔᏅᎢ	[dùlsǒ:stánv̌:ʔi]  (he is) (3rd/remote past) /ced/
aiming at him or it	ᏓᎵᏐᏍᏗᏍᎪᎢ	[dàlsǒ:sdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
aiming at him or it	ᏧᎵᏐᏍᏙᏗ	[julsǒ:sdóhdi]  (he is) (3rd/deverbal) /ced/
aiming it	ᏕᏥᏯᎵᏐᏍᏗᎭ	[de:jí:yalì:sǒ:sdíha] (an.)  (he is) (1st/present continuous) /ced/
aiming it	ᏕᎦᎵᏐᏍᏗᎭ	[de:gálì:sǒ:sdíha] (in.)  (he is) (1st/present continuous) /ced/
aiming it	ᏘᏯᎵᏐᏍᏓ	[ti:yálì:sǒ:sda] (in.)  (he is) (2nd/immediate) /ced/
aiming it	ᏔᎵᏐᏍᏓ	[tálso:sda] (an.)  (he is) (2nd/immediate) /ced/
aiming it	ᏓᎵᏐᏍᏗᎭ	[dàlso:sdíha]  (he is) (3rd/present continuous) /ced/
aiming it	ᏚᎵᏐᏍᏔᏅᎢ	[dùlsǒ:stánv̌:ʔi]  (he is) (3rd/remote past) /ced/
aiming it	ᏓᎵᏐᏍᏗᏍᎪᎢ	[dàlsǒ:sdí:sgó:ʔi]  (he is) (3rd/habitual) /ced/
aiming it	ᏧᎵᏐᏍᏙᏗ	[julsǒ:sdóhdi]  (he is) (3rd/deverbal) /ced/
air	ᎤᏃᎴ	[u:no:le]  (single noun) /ced/
air conditioner	ᎠᏴᏜᏗᏍᏗᏍᎩ	[ahyv:dladì:sdi̋:sgi]  (single noun) /ced/
air conditioner	ᏗᏴᏜᏗᏍᏗᏍᎩ	[di:hyv:dladì:sdi̋:sgi]  (plural noun) /ced/
airplane	ᏥᏳ	[jǐ:yu]  (single noun) /ced/
alcoholic beverage	ᎠᏚᎩᏍᏗ	[atǔ:gi̋:sdi]  (single noun) /ced/
alive	ᎬᎿ	[gv:hna]  (he) (is) (3rd/present continuous) /ced/
alive	ᎬᎾ	[gv̀:na]  (he) (is) (1st/present continuous) /ced/
alive	ᎬᏃᎢ	[gv:hnó:ʔi]  (he) (is) (3rd/habitual) /ced/
alive	ᎲᏁᏍᏗ	[hv:hné:sdi]  (he) (is) (2nd/future progressive) /ced/
alive	ᎬᏃᏓ	[gv:hnő:da] (adj/adv) /ced/
alive	ᏗᏅᏃᏓ	[di:nv:hnő:da]  (plural adj/adv) /ced/
all	ᏂᎦᏓ	[niga̋:da] (adj/adv) /ced/
all around	ᎬᏩᏚᏫᏓ	[gv:wa:tú:hwida] (adj/adv) /ced/
all day	ᎤᏙᏓᏆᏓ	[u:dǒ:dagwada] (adj/adv) /ced/
all over	ᏂᎬᎢ	[nikv̋:ʔi] (adj/adv) /ced/
all right	ᎣᏏᏊ	[o:sǐ:gwu] (adj/adv) /ced/
alligator	ᏧᎳᏍᎩ	[ju:là:sgi]  (single noun) /ced/
almost	ᎠᎴ	[ale] (adj/adv) /ced/
alone	ᎤᏩᏌ	[uwa̋:sa] (adj/adv) /ced/
alone	ᎤᏅᏌ	[u:nv̋:sa]  (plural adj/adv) /ced/
already	ᎦᏳᎳ	[gá:yu:la] (adj/adv) /ced/
also	ᎥᏍᏊ	[v̀:sgwú] (adj/adv) /ced/
also	ᏍᏊ	[sgwú] (adj/adv) /ced/
alternate	ᎠᏓᏁᏟᏴᏍᏗᏍᎩ	[adaně:dlí:yv̀:sdi̋:sgi]  (single noun) /ced/
alternate	ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ	[anadaně:dlí:yv̀:sdi̋:sgi]  (plural noun) /ced/
always	ᏂᎪᎯᎸᎢ	[nigǒ:hí:lv̋:ʔi] (adj/adv) /ced/
always	ᏂᎪᎸ	[nigǒ:lv] (adj/adv) /ced/
amazed	ᎠᏍᏆᏂᎪᏍᎦ	[à:sgwanigǒ:sga]  (he is) (3rd/present continuous) /ced/
amazed	ᏥᏍᏆᏂᎪᏍᎦ	[jì:sgwanigǒ:sga]  (he is) (1st/present continuous) /ced/
amazed	ᎤᏍᏆᏂᎪᏒᎢ	[ù:sgwanigǒ:sv̂:ʔi]  (he is) (3rd/remote past) /ced/
amazed	ᎠᏍᏆᏂᎪᏍᎪᎢ	[à:sgwanigǒ:sgóʔi]  (he is) (3rd/habitual) /ced/
amazed	ᎯᏍᏆᏂᎪᎯ	[hisgwanigǒ:hi]  (he is) (2nd/immediate) /ced/
amazed	ᎤᏍᏆᏂᎪᎯᏍᏗ	[u:sgwanigǒ:hísdi]  (he is) (3rd/deverbal) /ced/
an additional one	ᏐᎢ	[sóʔi] (adj/adv)  (singular form) /ced/
an additional one	ᏗᏐᎢ	[dǐ:sóʔi]  (singular form) (plural adj/adv) /ced/
and	ᎠᎴ	[ale] /ced/
and then	ᏃᏊᎴ	[nǒ:gwúle] /ced/
angel	ᏗᎧᏃᏩᏗᏙᎯ	[di:kano:wadi:dő:hi]  (single noun) /ced/
angel	ᏗᏂᎧᏃᏩᏗᏙᎯ	[di:ni:kano:wadi:dő:hi]  (plural noun) /ced/
anger	ᎧᎾᎸᎢᏍᏗ	[kanǎ:lv́ʔisdi]  (single noun) /ced/
angry	ᎤᎿᎸᎭ	[ù:hnǎ:lv́ha]  (he is) (3rd/present continuous) /ced/
angry	ᎠᎩᎾᎸᎭ	[à:kinǎ:lv́ha]  (he is) (1st/present continuous) /ced/
angry	ᎤᎿᎸᏒᎢ	[ù:hnǎ:lv̂:sv̌:ʔi]  (he is) (3rd/remote past) /ced/
angry	ᎤᎿᎸᏐᎢ	[ù:hnǎ:lv̂:só:ʔi]  (he is) (3rd/habitual) /ced/
angry	ᏣᎾᎸᏎᏍᏗ	[chanǎ:lv̂:sé:sdi]  (he is) (2nd/future progressive) /ced/
animals	ᎡᎿᎢ	[é:hnai]  (non-domesticated) (single noun) /ced/
ankle	ᎤᏥᏆᎸᏛᎢ	[ù:tsgwalv:tv̋:ʔi]  (his) (single noun) /ced/
ankle	ᏚᏥᏆᎸᏛᎢ	[dù:tsgwalv:tv̋:ʔi]  (his) (plural noun) /ced/
announcement	ᏗᎦᏃᏣᎸᏗ	[diganǒ:jahldi]  (single noun) /ced/
announcing it	ᏕᎦᏃᏣᏢᏍᎦ	[de:gáno:jahlv́sga]  (he is) (3rd/present continuous) /ced/
announcing it	ᏕᏥᏃᏣᎸᏍᎦ	[de:jíno:jaʔlv́sga]  (he is) (1st/present continuous) /ced/
announcing it	ᏚᏃᏣᏝᏅᎢ	[dù:no:jahlánv́:ʔi]  (he is) (3rd/remote past) /ced/
announcing it	ᏕᎦᏃᏣᏢᏍᎪᎢ	[de:gáno:jahlv́sgóʔi]  (he is) (3rd/habitual) /ced/
announcing it	ᏘᏃᏣᏢᎦ	[tinó:jahlv̀:ga]  (he is) (2nd/immediate) /ced/
announcing it	ᏧᏃᏣᎸᏗ	[ju:no:jahldi]  (he is) (3rd/deverbal) /ced/
another	ᏐᎢ	[sóʔi] (adj/adv) /ced/
another	ᏗᏐᎢ	[dǐ:sóʔi]  (plural adj/adv) /ced/
answering	ᎧᏁᎦ	[kané:ga]  (he is) (3rd/present continuous) /ced/
answering	ᏥᏁᎦ	[jì:né:ga]  (he is) (1st/present continuous) /ced/
answering	ᎤᏁᏨᎢ	[ù:hné:jv̌:ʔi]  (he is) (3rd/remote past) /ced/
answering	ᎧᏁᎪᎢ	[kané:gó:ʔi]  (he is) (3rd/habitual) /ced/
answering	ᎯᏁᎩ	[hihnè:gi]  (he is) (2nd/immediate) /ced/
answering	ᎤᏁᏍᏗ	[u:hnesdi]  (he is) (3rd/deverbal) /ced/
ant	ᏙᏒᏓᎵ	[do:sv̌:dáʔli]  (single noun) /ced/
anxious	ᎤᏪᎵᎯᎠ	[ù:we:lǐ:híʔa]  (he is) (3rd/present continuous) /ced/
anxious	ᎠᏇᎵᎯᎠ	[à:gwe:lǐ:híʔa]  (he is) (1st/present continuous) /ced/
anxious	ᎤᏪᎵᎯᏍᎬᎢ	[ù:we:lǐ:hî:sgv̌:ʔi]  (he is) (3rd/remote past) /ced/
anxious	ᎤᏪᎵᎯᏍᎪᎢ	[ù:we:lǐ:hî:sgó:ʔi]  (he is) (3rd/habitual) /ced/
anxious	ᏤᎵᎯᏍᎨᏍᏗ	[je:lǐ:hî:sgé:sdi]  (he is) (2nd/future progressive) /ced/
anxious	ᎤᏪᎵᎯᏍᏗ	[uwe:lǐ:hî:sdi]  (he is) (3rd/deverbal) /ced/
anyone	ᏱᏂᎦᎵᏍᏗᎭᏊ ᎩᎶ	[yinigálsdíhagwu kilo] /ced/
anywhere	ᏱᏂᎦᎵᏍᏗᎭᏊ ᎢᎸᏢᎢ	[yinigálsdíhagwu ilv́hdlv̋:ʔi] /ced/
apart	ᎢᏳᏓᎵ	[iyú:da̋:li]  (single noun) /ced/
applauding	ᏓᏏᏛᏂᎭ	[dà:sihtv́:niha]  (he is) (3rd/present continuous) /ced/
applauding	ᏕᎦᏏᏛᏂᎭ	[de:gâ:sihtv́:niha]  (he is) (1st/present continuous) /ced/
applauding	ᏚᏏᏛᏂᎸᎢ	[dù:sihtv̌:nî:lv̌:ʔi]  (he is) (3rd/remote past) /ced/
applauding	ᏓᏏᏛᏂᎰᎢ	[dà:sihtv́:nihó:ʔi]  (he is) (3rd/habitual) /ced/
applauding	ᏔᏏᏛᏂᎦ	[tasíhtv:nì:ga]  (he is) (2nd/immediate) /ced/
applauding	ᏧᏏᏛᏂᏍᏗ	[ju:sihtv̌:nî:sdi]  (he is) (3rd/deverbal) /ced/
apple	ᏒᎦᏔ	[sv̌:kta]  (single noun) /ced/
applying a break	ᏥᏅᏠᎯᎭ	[ji:nv́:hlo:híha] (an.)  (he is) (1st/present continuous) /ced/
applying a break	ᏥᏅᏠᎯᎭ	[jinv́:hlo:híha] (in.)  (he is) (1st/present continuous) /ced/
applying a break	ᎯᏅᏠᎦ	[hi:nv̀:hlǒ:ga] (in.)  (he is) (2nd/immediate) /ced/
applying a break	ᎯᏅᏠᎦ	[hinv̀:hlǒ:ga] (an.)  (he is) (2nd/immediate) /ced/
applying a break	ᎦᏅᏠᎯᎭ	[ganv́:hlo:híha]  (he is) (3rd/present continuous) /ced/
applying a break	ᎤᏅᏠᏢᎢ	[ù:nv́:hlo:hlv̌:ʔi]  (he is) (3rd/remote past) /ced/
applying a break	ᎦᏅᏠᎯᎰᎢ	[ganv́:hlo:hihó:ʔi]  (he is) (3rd/habitual) /ced/
applying a break	ᎤᏅᏠᏍᏗ	[u:nv̀:hlǒ:sdi]  (he is) (3rd/deverbal) /ced/
approximately	Ꮲ	[dlv] (adj/adv) /ced/
April	ᎧᏬᏂ	[Kawo:hni]  (single noun) /ced/
apron	ᎠᏞᏌᏙ	[adlè:sado]  (single noun) /ced/
apron	ᏗᏞᏌᏙ	[di:dlè:sado]  (plural noun) /ced/
area	ᎢᎬᎾᏕᎾ	[ǐ:gv́:nade̋:na]  (single noun) /ced/
arguing	ᎠᏘᏲᎯᎭ	[à:tiyǒ:híha]  (he is) (3rd/present continuous) /ced/
arguing	ᎦᏗᏲᎯᎭ	[gaʔdiyǒ:híha]  (he is) (1st/present continuous) /ced/
arguing	ᎤᏘᏲᏢᎢ	[ù:tiyǒ:hlv́:ʔi]  (he is) (3rd/remote past) /ced/
arguing	ᎠᏘᏲᎯᎰᎢ	[à:tiyǒ:híhó:ʔi]  (he is) (3rd/habitual) /ced/
